first_name,middle_name,last_name,eligibility,case_opened,case_closed,created_at,updated_at
Riley,Sage,Carter,Specific Learning Disability,2024-09-17,,2024-12-07T16:49:39Z,2025-02-03T07:34:39Z
Reese,Taylor,Robinson,Specific Learning Disability,2024-01-30,,2025-01-03T04:38:39Z,2025-02-02T07:54:39Z
Noel,Drew,Nguyen,Speech or Language Impairment,2024-12-02,,2025-07-28T04:49:39Z,2025-09-25T23:49:39Z
Emerson,nan,Clark,Autism Spectrum Disorder,2024-04-11,2024-07-28,2025-06-20T03:30:39Z,2025-07-19T14:09:39Z
Dakota,Skye,Baker,Speech or Language Impairment,2022-10-08,,2025-06-14T16:18:39Z,2025-08-01T06:30:39Z
Sage,Grace,King,Autism Spectrum Disorder,2024-03-25,,2024-09-19T00:40:39Z,2024-10-26T21:40:39Z
Finley,Jean,Flores,Other Health Impairment,2024-05-23,2025-04-20,2025-08-02T08:59:39Z,2025-10-04T19:12:39Z
River,Lane,Scott,Speech or Language Impairment,2024-02-22,,2025-01-14T10:56:39Z,2025-03-21T10:28:39Z
Frankie,Wren,Taylor,Emotional Disturbance,2023-10-09,2024-07-02,2025-03-29T21:36:39Z,2025-06-15T08:38:39Z
Brett,Ray,Moore,Other Health Impairment,2023-04-04,,2025-01-31T20:05:39Z,2025-02-04T15:57:39Z
