first_name,middle_name,last_name,dob,email,phone,gender
Sloan,Lee,Williams,2011-04-10,sloan.williams406@school.edu,669-476-3221,male
Riley,Sage,Carter,2010-04-17,riley.carter8868@school.edu,493-817-6559,nonbinary
Alex,Taylor,Ramirez,2007-04-10,alex.ramirez2804@school.edu,212-205-5985,male
Finley,Jean,Flores,2015-01-04,finley.flores7828@example.edu,800-650-7745,female
Sam,James,White,2008-03-16,sam.white9977@students.edu,256-657-9494,nonbinary
Alex,Alex,Roberts,2017-03-25,alex.roberts8954@students.edu,528-706-7716,nonbinary
Remy,,Young,2014-08-12,remy.young4818@students.edu,796-416-7845,nonbinary
Noel,Drew,Nguyen,2005-05-14,noel.nguyen4886@students.edu,874-513-3528,female
Blake,Avery,Roberts,2013-02-02,blake.roberts245@school.edu,757-472-8868,female
Dakota,,King,2011-10-08,dakota.king3223@students.edu,726-369-4664,female
Parker,,Wright,2013-07-01,parker.wright8631@example.edu,921-793-2520,female
Noel,Jordan,King,2015-09-05,noel.king1645@example.edu,358-604-8679,male
Toby,Wren,Sanchez,2006-10-28,toby.sanchez3043@students.edu,952-262-2799,nonbinary
Frankie,Skye,Torres,2012-07-27,frankie.torres7095@school.edu,826-679-3761,nonbinary
Ari,Jordan,Jones,2008-12-05,ari.jones7597@school.edu,490-737-2615,male
Micah,Drew,White,2009-09-26,micah.white6963@students.edu,981-662-9674,nonbinary
Sage,Grace,King,2017-06-05,sage.king303@example.edu,700-987-6842,male
Frankie,Wren,Taylor,2011-08-28,frankie.taylor3491@school.edu,561-357-1755,female
Charlie,Jude,Miller,2005-04-20,charlie.miller8231@school.edu,693-810-2738,male
Riley,Reese,Baker,2017-02-02,riley.baker1515@example.edu,229-541-8315,male
Noel,Drew,Baker,2010-04-09,noel.baker7913@school.edu,516-671-9340,nonbinary
River,Lane,Scott,2013-03-27,river.scott7902@students.edu,345-798-7607,male
Winter,Marie,Allen,2013-04-05,winter.allen8704@students.edu,426-663-5235,nonbinary
Alex,,Flores,2017-06-27,alex.flores6750@school.edu,918-399-8822,female
Devin,Lee,White,2012-11-21,devin.white6126@example.edu,751-317-8115,nonbinary
Jamie,,Harris,2012-08-07,jamie.harris852@example.edu,760-660-9087,female
Harper,Avery,Thomas,2007-08-26,harper.thomas2948@students.edu,891-972-9771,female
Payton,Lee,Walker,2007-10-18,payton.walker7601@school.edu,267-823-2690,male
Emerson,,Clark,2012-05-13,emerson.clark365@school.edu,815-990-7551,male
Emery,Jordan,Jackson,2005-09-14,emery.jackson2386@example.edu,531-227-3979,male
Taylor,,Allen,2012-04-22,taylor.allen4259@students.edu,675-692-7312,male
Brett,Ray,Moore,2013-01-18,brett.moore9334@students.edu,787-473-3528,nonbinary
Blake,Jude,Lewis,2016-08-08,blake.lewis2949@school.edu,720-296-2864,female
Devin,Lane,Ramirez,2009-06-17,devin.ramirez5228@school.edu,955-605-7168,female
Dakota,Skye,Baker,2011-02-06,dakota.baker6837@example.edu,559-427-6753,female
Finley,Quinn,Perez,2015-08-08,finley.perez7823@example.edu,421-805-8694,female
Cameron,Ray,Anderson,2008-04-22,cameron.anderson5685@school.edu,628-243-8277,male
Emery,,Lee,2013-01-21,emery.lee8322@students.edu,892-753-4052,female
Rowan,Wren,Walker,2010-07-13,rowan.walker731@students.edu,566-992-1184,male
Finley,James,Davis,2010-12-08,finley.davis7715@example.edu,644-898-8149,nonbinary
Jules,Jude,Torres,2014-11-14,jules.torres1146@example.edu,389-946-8621,female
Casey,Skye,Anderson,2007-03-28,casey.anderson4242@school.edu,229-310-6578,nonbinary
Sage,Shawn,Martin,2013-10-01,sage.martin3812@school.edu,234-923-6650,nonbinary
Riley,Jordan,Johnson,2014-12-28,riley.johnson793@school.edu,465-739-9581,female
Sloan,Lane,Ramirez,2011-07-28,sloan.ramirez81@school.edu,808-362-7614,female
Brett,Grace,Walker,2005-10-08,brett.walker228@example.edu,465-983-9734,female
Rowan,Jude,Jackson,2015-07-31,rowan.jackson6153@school.edu,484-651-9373,female
Kit,,Jackson,2007-02-11,kit.jackson5361@school.edu,968-394-5444,nonbinary
Logan,Jean,Wilson,2015-05-26,logan.wilson9113@school.edu,541-850-1077,female
Reese,Taylor,Robinson,2007-01-11,reese.robinson4191@example.edu,530-956-5963,female
Sydney,Noel,Miller,1976-07-28,sydney.miller@boardofeducationgoverningboard.example.org,(555) 594-9561,Female
Taylor,Jude,Taylor,1996-05-29,taylor.taylor@boardofeducationgoverningboard.example.org,(555) 827-7296,Male
Kendall,Drew,Moore,1972-07-05,kendall.moore@boardofeducationgoverningboard.example.org,(555) 412-2088,Prefer not to say
Morgan,Kai,Thomas,1981-11-01,morgan.thomas@boardofeducationgoverningboard.example.org,(555) 907-9427,Male
Kendall,Blue,Moore,2001-10-03,kendall.moore@superintendentsoffice.example.org,(555) 588-2030,Male
Rowan,Jude,Smith,1980-04-10,rowan.smith@superintendentsoffice.example.org,(555) 416-9997,Male
Blake,Sage,Moore,2002-03-04,blake.moore@superintendentsoffice.example.org,(555) 822-2856,Male
Riley,Marie,Rodriguez,1968-04-18,riley.rodriguez@superintendentsoffice.example.org,(555) 598-5185,Male
Rowan,Grace,Gonzalez,2003-11-14,rowan.gonzalez@superintendentsoffice.example.org,(555) 505-9929,Prefer not to say
Reese,James,Wilson,1977-06-16,reese.wilson@superintendentsoffice.example.org,(555) 213-8884,Nonbinary
Skyler,Grace,Smith,1986-03-26,skyler.smith@superintendentsoffice.example.org,(555) 889-3557,Prefer not to say
Jamie,Ash,Johnson,1997-10-10,jamie.johnson@superintendentsoffice.example.org,(555) 323-3876,Male
Taylor,Blue,Thomas,2001-03-26,taylor.thomas@generaloperations.example.org,(555) 252-7695,Male
Quinn,Ray,Anderson,1998-07-09,quinn.anderson@generaloperations.example.org,(555) 524-1954,Female
Reese,Lee,Anderson,1997-02-25,reese.anderson@schoolleadership.example.org,(555) 475-3554,Nonbinary
Sydney,Jude,Williams,1995-12-07,sydney.williams@schoolleadership.example.org,(555) 556-9108,Female
Emerson,Sage,Taylor,1987-08-05,emerson.taylor@schoolleadership.example.org,(555) 453-8501,Female
Kendall,Lee,Hernandez,2003-01-02,kendall.hernandez@schoolleadership.example.org,(555) 765-1124,Female
Jamie,James,Thomas,2001-02-07,jamie.thomas@schoolleadership.example.org,(555) 372-4680,Female
Rowan,Sage,Davis,1969-02-06,rowan.davis@schoolleadership.example.org,(555) 460-4784,Female
Alex,Blue,Taylor,1967-04-27,alex.taylor@schoolleadership.example.org,(555) 843-8802,Female
Jordan,James,Thomas,1985-02-08,jordan.thomas@generaloperations.example.org,(555) 568-4647,Male
Hayden,Noel,Miller,1966-09-01,hayden.miller@athleticsactivitiesenrichment.example.org,(555) 832-7107,Nonbinary
Sydney,Rey,Brown,1979-02-13,sydney.brown@athleticsactivitiesenrichment.example.org,(555) 728-9024,Female
Blake,Blue,Jackson,1976-10-11,blake.jackson@athleticsactivitiesenrichment.example.org,(555) 311-9647,Female
Jamie,Lee,Hernandez,1976-08-19,jamie.hernandez@schoolleadership.example.org,(555) 655-9823,Prefer not to say
Taylor,Skye,Johnson,1979-01-06,taylor.johnson@schoolleadership.example.org,(555) 291-8854,Female
Emerson,Ash,Wilson,1965-04-13,emerson.wilson@schoolleadership.example.org,(555) 440-9501,Female
Avery,Lee,Jackson,1968-02-10,avery.jackson@academicsinstruction.example.org,(555) 594-2502,Prefer not to say
Alex,Blue,Smith,1991-02-23,alex.smith@academicsinstruction.example.org,(555) 436-2929,Male
Hayden,Jude,Williams,1971-04-15,hayden.williams@academicsinstruction.example.org,(555) 435-3010,Nonbinary
Skyler,Kai,Rodriguez,1993-02-04,skyler.rodriguez@academicsinstruction.example.org,(555) 593-1883,Male
Quinn,Noel,Jackson,1980-07-20,quinn.jackson@academicsinstruction.example.org,(555) 826-3551,Male
Devon,Kai,Williams,1991-03-12,devon.williams@academicsinstruction.example.org,(555) 759-4826,Female
Cameron,Ray,Anderson,1965-01-22,cameron.anderson@athleticsactivitiesenrichment.example.org,(555) 548-4191,Prefer not to say
Quinn,Kai,Gonzalez,1999-11-19,quinn.gonzalez@athleticsactivitiesenrichment.example.org,(555) 754-1170,Prefer not to say
Sydney,Sage,Anderson,1986-03-16,sydney.anderson@academicsinstruction.example.org,(555) 384-7530,Female
Rowan,Sage,Williams,1974-05-30,rowan.williams@academicsinstruction.example.org,(555) 448-8555,Male
